,Company,Price  Price,Change_Percent,Vol,Share Vol,Trades,Symbol
0,RHHBY,33.06,1.26,41937727,1244087,1685,qx
1,OGRMF,7.45,2.96,19558126,2609580,5444,qx
2,GBTC,6.61,6.44,16190892,2461578,3063,qx
3,FNMAS,11.08,-0.36,10448862,946815,984,qb
4,GBOOY,31.54,-3.04,7432845,235751,108,qx
5,FMCKJ,10.93,-0.36,6175952,567823,215,qb
6,ADDYY,128.54,0.71,6149869,32348,422,qx
7,PUBGY,14.86,-1.07,5783314,387785,153,qx
8,FERGY,7.05,1.0,5586375,793699,315,qx
9,CURLF,9.91,0.59,5441317,559688,1629,qx
10,ACRGF,22.26,-1.9,5191601,230841,1046,qx
11,CRLBF,12.92,0.34,4592511,362727,1317,qx
12,FNMAT,10.11,-0.88,4373664,432118,362,qb
13,GTBIF,14.7425,-1.32,4035044,271719,753,qx
14,PBAM,23.5,0.43,3757533,159895,6,qx
15,CVSI,5.27,-3.3,3658891,677726,1215,qb
16,IMBBY,32.0,1.68,3645179,114614,538,qx
17,BASFY,20.41,0.64,3468289,170595,379,qx
18,CWBHF,19.25,-3.56,3310721,169040,1066,qx
19,HRVSF,8.72,-4.18,3190186,360729,1250,qx
20,FNMA,2.48,0.81,3161973,1271663,658,qb
21,DANOY,16.22,1.44,2866386,177353,491,qx
22,TGODF,3.35,2.76,2846359,854189,1185,qx
23,ADDDF,260.0,2.01,2703028,2754,5,qx
24,SMLR,44.75,-4.38,2532323,56215,271,qb
25,JBSAY,9.93,0.4,2456856,246842,741,qx
26,VGWCF,3.37,-2.32,2451146,699618,1025,qb
27,BNPQY,26.64,-0.09,2206586,82870,338,qx
28,SRUTF,0.653,-5.36,2195280,3144284,998,qb
29,REPYY,17.01,3.34,2008216,118515,269,qx
30,ITHUF,4.83,-2.82,1911109,392314,869,qx
31,ORHOF,9.4112,-1.99,1878869,198599,823,qx
32,KSHB,5.36,-0.37,1837614,344616,949,qb
33,FRAF,38.2,3.24,1794727,47524,130,qx
34,DTEGY,16.79,0.17,1791291,106827,271,qx
